district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.055.000.000,147 m²,36 m²,1,2,1,1,1,SHM,3300 Watt,Unfurnished,2023
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.105.200.000,147 m²,45 m²,1,2,1,1,1,SHM,2023 Watt,Unfurnished,2023
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.105.880.000,147 m²,45 m²,1,2,1,1,1,SHM,3300 Watt,Unfurnished,2023
Tanah Sereal,Bogor,-6.5701364,106.78768,31/03/2024,Rp 1.105.800.000,147 m²,45 m²,1,2,1,1,1,SHM,2200 Watt,Unfurnished,2023
Ciampea,Bogor,-6.5549421,106.6961626,27/05/2024,Rp 500.000.000,86 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,21/02/2024,Rp 2.300.000.000,180 m²,250 m²,2,4,4,2,N/A,SHM,4400 Watt,Semi Furnished,N/A
Bogor Timur,Bogor,-6.617944400000001,106.820343,11/03/2024,Rp 1.300.000.000,130 m²,180 m²,2,3,2,1,N/A,SHM,2200 Watt,N/A,N/A
Bogor,Jawa Barat,-6.597146899999999,106.8060388,03/06/2024,Rp 446.012.000,60 m²,37 m²,2,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2021
Ciseeng,Bogor,-6.4416395,106.6952513,03/06/2024,Rp 290.000.000,66 m²,32 m²,1,2,1,1,N/A,N/A,1300 Watt,Unfurnished,2023
Bogor,Jawa Barat,-6.597146899999999,106.8060388,03/06/2024,Rp 282.000.000,66 m²,32 m²,1,2,1,1,N/A,N/A,2200 Watt,Unfurnished,2023
Cibinong,Bogor,-6.4901067,106.8306951,03/06/2024,Rp 561.000.000,43 m²,75 m²,2,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bojong Gede,Bogor,-6.4960615,106.7947017,03/06/2024,Rp 600.000.000,76 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Tanah Sereal,Bogor,-6.5701364,106.78768,03/06/2024,Rp 2.550.000.000,168 m²,90 m²,1,3,2,1,N/A,SHM,1300 Watt,Unfurnished,1996
Dramaga,Bogor,-6.577668999999999,106.7319218,03/06/2024,Rp 1.000.000.000,282 m²,200 m²,1,4,3,N/A,N/A,SHM,N/A,N/A,N/A
Bogor Timur,Bogor,-6.617944400000001,106.820343,03/06/2024,Rp 1.590.000.000,72 m²,73 m²,2,2,2,1,N/A,SHM,2200 Watt,Full Furnished,2023
Ciseeng,Bogor,-6.4416395,106.6952513,03/06/2024,Rp 185.000.000,60 m²,28 m²,1,2,1,N/A,N/A,N/A,1300 Watt,Unfurnished,2023
Kemang,Bogor,-6.4857872,106.7362028,03/06/2024,Rp 795.000.000,60 m²,60 m²,2,2,2,1,N/A,SHM,2200 Watt,Unfurnished,2023
Babakan Madang,Bogor,-6.5211331,106.8502879,03/06/2024,Rp 2.100.000.000,180 m²,200 m²,2,4,3,1,1,SHM,3299 Watt,Semi Furnished,2000
Ciampea,Bogor,-6.5549421,106.6961626,03/06/2024,Rp 352.000.000,70 m²,30 m²,1,2,1,N/A,1,SHM,1300 Watt,Unfurnished,N/A
Gunung Putri,Bogor,-6.403049299999999,106.9299579,03/06/2024,Rp 580.000.000,84 m²,40 m²,1,2,1,1,1,SHM,1300 Watt,Unfurnished,2024
Gunung Putri,Bogor,-6.4265479,106.917969,03/06/2024,Rp 981.000.000,125 m²,48 m²,N/A,2,1,1,1,SHM,1300 Watt,Unfurnished,2024
Babakan Madang,Bogor,-6.5211331,106.8502879,03/06/2024,Rp 8.500.000.000,483 m²,500 m²,3,6,5,1,1,HGB,7700 Watt,Semi Furnished,2000
Bogor Selatan,Bogor,-6.6323703,106.8075977,03/06/2024,Rp 5.500.000.000,600 m²,448 m²,2,4,3,N/A,N/A,SHM,N/A,N/A,N/A
Bogor Selatan,Bogor,-6.6323703,106.8075977,03/06/2024,Rp 5.500.000.000,600 m²,450 m²,2,4,3,N/A,N/A,SHM,N/A,N/A,N/A
Cileungsi,Bogor,-6.4004124,106.960981,03/06/2024,Rp 975.000.000,163 m²,90 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2012
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 700.000.000,71 m²,140 m²,2,4,1,1,1,SHM,2200 Watt,Full Furnished,2016
Bogor Tengah,Bogor,-6.577631200000001,106.8153846,03/06/2024,Rp 1.500.000.000,84 m²,110 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,2024
Bogor Tengah,Bogor,-6.5767786,106.7996035,03/06/2024,Rp 1.500.000.000,84 m²,110 m²,2,3,2,1,N/A,SHM,1300 Watt,Semi Furnished,2024
Bogor Selatan,Bogor,-6.6323703,106.8075977,03/06/2024,Rp 5.500.000.000,600 m²,450 m²,2,4,3,N/A,N/A,SHM,-2 Watt,N/A,N/A
Bogor Barat,Bogor,-6.563991,106.7633625,03/06/2024,Rp 395.000.000,60 m²,36 m²,1,2,1,1,1,SHM,900 Watt,Unfurnished,2024
Gunung Putri,Bogor,-6.4288646,106.9240554,03/06/2024,Rp 2.700.000.000,180 m²,250 m²,N/A,3,2,N/A,2,SHM,N/A,Semi Furnished,N/A
Cisarua,Bogor,-6.679948899999999,106.9322873,03/06/2024,Rp 4.000.000.000,1350 m²,500 m²,2,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Cisarua,Bogor,-6.679948899999999,106.9322873,03/06/2024,Rp 4.500.000.000,3650 m²,500 m²,2,3,3,N/A,N/A,SHM,N/A,N/A,N/A
Bogor Tengah,Bogor,-6.5908139,106.7846549,03/06/2024,Rp 1.500.000.000,84 m²,110 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,2024
Bojong Gede,Bogor,-6.4960615,106.7947017,03/06/2024,Rp 500.000.000,33 m²,60 m²,1,1,1,1,N/A,SHM,N/A,N/A,N/A
Tajur Halang,Bogor,-6.4807009,106.7554251,03/06/2024,Rp 200.000.000,60 m²,36 m²,1,2,1,N/A,1,Lain-lain,N/A,Unfurnished,2014
