district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Kelapa Dua,Tangerang,-6.1580931,106.6664736,02/06/2024,Rp 1.100.000.000,58 m²,46 m²,2,3,2,1,N/A,SHM,N/A,Unfurnished,N/A
Pinang,Tangerang,-6.2237885,106.6605396,05/03/2024,Rp 9.500.000.000,480 m²,500 m²,2,6,5,N/A,N/A,SHM,N/A,N/A,N/A
Pinang,Tangerang,-6.2237885,106.6605396,05/03/2024,Rp 13.000.000.000,340 m²,500 m²,3,6,6,N/A,N/A,SHM,N/A,Unfurnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,25/04/2024,Rp 3.450.000.000,200 m²,240 m²,1,5,4,1,N/A,SHM,N/A,Semi Furnished,N/A
Pagedangan,Tangerang,-6.293577099999999,106.6423214,05/03/2024,Rp 2.750.000.000,128 m²,250 m²,2,5,4,N/A,N/A,SHM,N/A,Full Furnished,N/A
Kelapa Dua,Tangerang,-6.2542275,106.6293851,25/04/2024,Rp 3.800.000.000,208 m²,193 m²,2,5,4,N/A,N/A,SHM,N/A,Semi Furnished,N/A
Cikupa,Tangerang,-6.2181325,106.4970097,25/04/2024,Rp 400.000.000,60 m²,48 m²,1,2,1,1,N/A,HGB,1300 Watt,Semi Furnished,N/A
Kelapa Dua,Tangerang,-6.243365,106.6288533,02/06/2024,Rp 2.500.000.000,80 m²,184 m²,2,4,4,1,N/A,SHM,N/A,Semi Furnished,N/A
Pagedangan,Tangerang,-6.2710576,106.6241853,25/04/2024,Rp 1.700.000.000,90 m²,70 m²,2,2,2,1,N/A,SHM,N/A,Unfurnished,N/A
Pagedangan,Tangerang,-6.2710576,106.6241853,25/04/2024,Rp 1.800.000.000,63 m²,108 m²,3,4,4,1,N/A,PPJB,N/A,Semi Furnished,N/A
Pagedangan,Tangerang,-6.2710576,106.6241853,25/04/2024,Rp 1.400.000.000,63 m²,79 m²,2,3,2,1,N/A,PPJB,N/A,Unfurnished,N/A
