district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Bekasi Timur,Bekasi,-6.2491162,107.013564,12/05/2024,Rp 475.000.002,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,12/05/2024,Rp 550.000.007,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2022
Dukuh Zamrud,Bekasi Selatan,-6.3121607,107.021111,05/05/2024,Rp 775.000.005,100 m²,80 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Cibitung,Bekasi,-6.251275400000001,107.0874774,05/05/2024,Rp 230.000.000,90 m²,35 m²,1,2,1,N/A,1,SHM,450 Watt,Unfurnished,2012
Dukuh Zamrud,Bekasi Selatan,-6.3121607,107.021111,05/05/2024,Rp 575.000.005,70 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Grand Residence City,Bekasi Selatan,-6.3298482,107.0310717,05/05/2024,Rp 460.000.005,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 800.000.005,96 m²,75 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 2.000.000.005,98 m²,196 m²,3,4,3,2,N/A,SHM,3500 Watt,Semi Furnished,2023
Taman Harapan Baru,Medan Satria,-6.1730925,106.9931081,05/05/2024,Rp 785.000.000,100 m²,100 m²,1,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2020
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 535.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 580.000.005,85 m²,55 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur Regency,Bekasi Selatan,-6.2598431,106.9726004,05/05/2024,Rp 575.000.005,72 m²,55 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 460.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 575.000.005,70 m²,50 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Kedungwaringin,Bekasi,-6.272649599999999,107.2666098,05/05/2024,Rp 1.500.000.000,105 m²,80 m²,1,2,1,N/A,N/A,SHM,900 Watt,Unfurnished,2019
Cikarang Utara,Bekasi,-6.2585934,107.1470724,05/05/2024,Rp 480.000.005,60 m²,60 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,05/05/2024,Rp 575.000.005,72 m²,55 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,05/05/2024,Rp 550.000.007,52 m²,106 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2022
Vida Bumipala,Bekasi Barat,-6.3156704,107.001668,05/05/2024,Rp 535.000.007,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2022
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,05/05/2024,Rp 800.000.007,90 m²,75 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2022
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,05/05/2024,Rp 580.000.007,85 m²,55 m²,1,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
golden city,Bekasi Utara,-6.20792,107.020438,28/04/2024,Rp 550.000.000,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,28/04/2024,Rp 499.500.000,90 m²,70 m²,1,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2024
Jatiasih Garden,Jatiasih,-6.3009292,106.9557272,28/04/2024,Rp 775.000.000,80 m²,69 m²,2,2,2,1,N/A,SHM,2199 Watt,Unfurnished,2024
Jakasampurna,Bekasi Barat,-6.2457664,106.9683273,28/04/2024,Rp 1.200.000.000,80 m²,120 m²,2,3,3,2,N/A,SHM,2199 Watt,Unfurnished,2024
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,28/04/2024,Rp 630.000.000,73 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
grand wisata,Mustikajaya,-6.296142800000001,107.0214912,28/04/2024,Rp 799.000.000,69 m²,99 m²,2,4,2,2,N/A,SHM,2199 Watt,Unfurnished,2023
summarecon,Bekasi Utara,-6.2277207,107.0016494,28/04/2024,Rp 565.000.000,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,28/04/2024,Rp 985.000.000,135 m²,135 m²,1,3,2,2,N/A,SHM,2199 Watt,Unfurnished,2024
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,28/04/2024,Rp 860.000.000,84 m²,100 m²,2,3,3,1,N/A,SHM,2200 Watt,Unfurnished,2024
summarecon,Bekasi Utara,-6.2277207,107.0016494,28/04/2024,Rp 1.300.000.000,90 m²,130 m²,2,3,3,2,N/A,SHM,2200 Watt,Unfurnished,2024
taman galaxy,Bekasi Selatan,-6.2598431,106.9726004,28/04/2024,Rp 1.300.000.000,80 m²,120 m²,2,3,3,1,N/A,SHM,2200 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,28/04/2024,Rp 460.000.005,60 m²,45 m²,N/A,2,2,2,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,28/04/2024,Rp 775.000.005,100 m²,80 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,28/04/2024,Rp 575.000.005,70 m²,50 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,28/04/2024,Rp 355.000.005,60 m²,60 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,28/04/2024,Rp 475.000.005,60 m²,60 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Timur,Bekasi,-6.2491162,107.013564,28/04/2024,Rp 575.000.005,72 m²,55 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Cibitung,Bekasi,-6.251275400000001,107.0874774,21/04/2024,Rp 181.000.000,60 m²,27 m²,1,2,1,1,N/A,SHM,1500 Watt,N/A,2019
